date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:48	25214/25214	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:46%20GMT	https://unrr.cz/organizacni-struktura/	unrr.cz/organizacni-struktura/index.html	(from https://unrr.cz/)
16:38:48	1153/1153	---M--	200	added ('OK')	image/png	etag:%22481-58dcb632ac31f%22	https://unrr.cz/wp-content/plugins/rotatingtweets/images/reply.png	unrr.cz/wp-content/plugins/rotatingtweets/images/reply.png	(from https://unrr.cz/)
16:38:49	24245/24245	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:48%20GMT	https://unrr.cz/uredni-deska/	unrr.cz/uredni-deska/index.html	(from https://unrr.cz/)
16:38:49	24777/24777	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:49%20GMT	https://unrr.cz/provozni-informace/	unrr.cz/provozni-informace/index.html	(from https://unrr.cz/)
16:38:49	1095/1095	---M--	200	added ('OK')	image/png	etag:%22447-58dcb632ad2bf%22	https://unrr.cz/wp-content/plugins/rotatingtweets/images/retweet.png	unrr.cz/wp-content/plugins/rotatingtweets/images/retweet.png	(from https://unrr.cz/)
16:38:52	28341/28341	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:51%20GMT	https://unrr.cz/rozpocet-uradu/	unrr.cz/rozpocet-uradu/index.html	(from https://unrr.cz/)
16:38:52	1329/1329	---M--	200	added ('OK')	image/png	etag:%22531-58dcb632ab37f%22	https://unrr.cz/wp-content/plugins/rotatingtweets/images/favorite.png	unrr.cz/wp-content/plugins/rotatingtweets/images/favorite.png	(from https://unrr.cz/)
16:38:53	25353/25353	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:52%20GMT	https://unrr.cz/zaverecny-ucet-kapitoly/	unrr.cz/zaverecny-ucet-kapitoly/index.html	(from https://unrr.cz/)
16:38:53	26243/26243	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:52%20GMT	https://unrr.cz/vyrocni-zprava-uradu-narodni-rozpoctove-rady/	unrr.cz/vyrocni-zprava-uradu-narodni-rozpoctove-rady/index.html	(from https://unrr.cz/)
16:38:53	25128/25128	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:53%20GMT	https://unrr.cz/verejne-zakazky/	unrr.cz/verejne-zakazky/index.html	(from https://unrr.cz/)
16:38:54	34050/34050	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:54%20GMT	https://unrr.cz/poskytovani-informaci/	unrr.cz/poskytovani-informaci/index.html	(from https://unrr.cz/)
16:38:55	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:38:55%20GMT	https://unrr.cz/jquery-swiper.css	unrr.cz/jquery-swiper.css	(from https://unrr.cz/)
16:38:56	24322/24322	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:56%20GMT	https://unrr.cz/pro-media/	unrr.cz/pro-media/index.html	(from https://unrr.cz/)
16:38:57	24585/24585	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:57%20GMT	https://unrr.cz/kariera/	unrr.cz/kariera/index.html	(from https://unrr.cz/)
