date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:46	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2005%20Aug%202020%2014:22:45%20GMT	https://unrr.cz/robots.txt		(from )
16:22:47	50716/50716	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:22:46%20GMT	https://unrr.cz/	unrr.cz/index.html	(from )
16:22:47	172/172	---M--	401	error ('Unauthorized')	text/html	date:Wed,%2005%20Aug%202020%2014:22:47%20GMT	https://unrr.cz/xmlrpc.php	unrr.cz/xmlrpc.php	(from https://unrr.cz/)
16:22:49	906462/906462	---MCZ	200	added ('OK')	text/css	etag:%22dd4de-5ab7c094ebcb1-gzip%22	https://unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css	unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css	(from https://unrr.cz/)
16:22:51	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217a69-590390ea075c3%22	https://unrr.cz/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	unrr.cz/wp-includes/js/jquery/jquery4a5f.js	(from https://unrr.cz/)
16:22:51	206/206	---M--	200	added ('OK')	text/calendar	date:Wed,%2005%20Aug%202020%2014:22:50%20GMT	https://unrr.cz/kalendar/?ical=1	unrr.cz/kalendar/indexedf3.html	(from https://unrr.cz/)
16:22:51	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221c3f703eb0de924056e0c4f2e431298d%22	https://unrr.cz/comments/feed/	unrr.cz/comments/feed/index.html	(from https://unrr.cz/)
16:22:52	172/172	---M--	401	error ('Unauthorized')	text/html	date:Wed,%2005%20Aug%202020%2014:22:51%20GMT	https://unrr.cz/xmlrpc.php?rsd	unrr.cz/xmlrpc0db0.php	(from https://unrr.cz/)
16:22:53	55608/55608	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba4a84d90be9382c4f8300dfd4e459bd%22	https://unrr.cz/feed/	unrr.cz/feed/index.html	(from https://unrr.cz/)
16:22:54	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-556da9da133c0%22	https://unrr.cz/wp-includes/wlwmanifest.xml	unrr.cz/wp-includes/wlwmanifest.xml	(from https://unrr.cz/)
16:22:54	145152/145152	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Aug%202020%2014:22:53%20GMT	https://unrr.cz/wp-json/	unrr.cz/wp-json/index.html	(from https://unrr.cz/)
16:22:55	4018/4018	---M--	200	added ('OK')	application/json	date:Wed,%2005%20Aug%202020%2014:22:55%20GMT	https://unrr.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Funrr.cz%2F	unrr.cz/wp-json/oembed/1.0/embed9a55.json	(from https://unrr.cz/)
16:22:56	4210/4210	---MCZ	200	added ('OK')	text/xml	date:Wed,%2005%20Aug%202020%2014:22:56%20GMT	https://unrr.cz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Funrr.cz%2F&format=xml	unrr.cz/wp-json/oembed/1.0/embed7e53	(from https://unrr.cz/)
16:22:56	1352/1352	---M--	200	added ('OK')	image/png	etag:%22548-56eac4e831809%22	https://unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-32x32.png	unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-32x32.png	(from https://unrr.cz/)
16:22:57	13500/13500	---M--	200	added ('OK')	image/png	etag:%2234bc-56eac4e823d49%22	https://unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-192x192.png	unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-192x192.png	(from https://unrr.cz/)
16:22:58	12330/12330	---M--	200	added ('OK')	image/png	etag:%22302a-56eac4e830869%22	https://unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-180x180.png	unrr.cz/wp-content/uploads/2018/06/cropped-logo-unrr-symlbol-h40-180x180.png	(from https://unrr.cz/)
16:22:59	11420/11420	---M--	200	added ('OK')	image/png	etag:%222c9c-5776850a62b0d%22	https://unrr.cz/wp-content/uploads/2018/10/NRR_logo_308x100.png	unrr.cz/wp-content/uploads/2018/10/NRR_logo_308x100.png	(from https://unrr.cz/)
16:23:00	27495/27495	---MC-	200	added ('OK')	application/json	date:Wed,%2005%20Aug%202020%2014:22:59%20GMT	https://unrr.cz/wp-json/tribe/events/v1/	unrr.cz/wp-json/tribe/events/v1/index.html	(from https://unrr.cz/)
16:23:00	43263/43263	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:22:59%20GMT	https://unrr.cz/en/	unrr.cz/en/index.html	(from https://unrr.cz/)
16:23:01	58133/58133	---M--	200	added ('OK')	image/jpeg	etag:%22e315-5724c2afe90a4%22	https://unrr.cz/wp-content/uploads/2018/07/%c5%a0koda-Auto-v%c3%bdroba-400x400.jpg	unrr.cz/wp-content/uploads/2018/07/%c5%a0koda-Auto-v%c3%bdroba-400x400.jpg	(from https://unrr.cz/)
16:23:03	28588/28588	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:02%20GMT	https://unrr.cz/o-rade/	unrr.cz/o-rade/index.html	(from https://unrr.cz/)
16:23:03	17158/17158	---M--	200	added ('OK')	image/jpeg	etag:%224306-5aae03f86f921%22	https://unrr.cz/wp-content/uploads/2020/07/%c5%a0kolstv%c3%ad-1-400x315.jpg	unrr.cz/wp-content/uploads/2020/07/%c5%a0kolstv%c3%ad-1-400x315.jpg	(from https://unrr.cz/)
16:23:04	31340/31340	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:03%20GMT	https://unrr.cz/clenove-narodni-rozpoctove-rady/	unrr.cz/clenove-narodni-rozpoctove-rady/index.html	(from https://unrr.cz/)
16:23:04	27695/27695	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:03%20GMT	https://unrr.cz/vybor-pro-rozpoctove-prognozy/	unrr.cz/vybor-pro-rozpoctove-prognozy/index.html	(from https://unrr.cz/)
16:23:04	29060/29060	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:04%20GMT	https://unrr.cz/kdo-jsme-a-co-delame/	unrr.cz/kdo-jsme-a-co-delame/index.html	(from https://unrr.cz/)
16:23:06	16145/16145	---M--	200	added ('OK')	image/jpeg	etag:%223f11-5aa027313dab5%22	https://unrr.cz/wp-content/uploads/2020/07/OBR-pln%c4%9bn%c3%ad-062020-400x400.jpg	unrr.cz/wp-content/uploads/2020/07/OBR-pln%c4%9bn%c3%ad-062020-400x400.jpg	(from https://unrr.cz/)
16:23:07	29203/29203	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:05%20GMT	https://unrr.cz/casto-kladene-otazky/	unrr.cz/casto-kladene-otazky/index.html	(from https://unrr.cz/)
16:23:07	27551/27551	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:23:07%20GMT	https://unrr.cz/vydavame/sdeleni/	unrr.cz/vydavame/sdeleni/index.html	(from https://unrr.cz/)
